basit.mirza@zones.com,051-4100423,http://www.zones.com.pk,"Plot # 177, Industrial Area I-10/3, Urban, Islamabad, Islamabad Capital Territory, Pakistan 46000"
irshad@allzonetech.com,00923003981218,http://www.allzonetech.com,"93-Sunflower Society, Block J1, Johar Town Lahore, Pakistan., , Pakistan 54000"
sales@deltacom-ts.com,021-348320380321-3816022,http://www.deltacom-ts.com,"Suite 1102, Noor Trade Center, B-27 Block 13/A Gulshan-e-Iqbal, Karachi, Sindh, Pakistan 75300Suite 1102, Noor Trade Center, B-27 Block 13/A Gulshan-e-Iqbal, Karachi, Sindh, Pakistan 75300"
info@efrotech.com,+92-21-111 123 ERP (377),http://www.efrotech.com,"12-C, Block 6, P.E.C.H.S., Off. Sharah-e-Faisal, , Pakistan 75400"
info@isrpl.com,+92300 8234490,http://www.isrpl.com,"19, First Floor, Old Ralli Building, Talpur Road, Off: I. I. Chundrigar Road, Karachi, Sindh, Pakistan 74000"
info@mtechsoft.pk,+92418720145,https://www.mtechsoft.pk/,"16/2 A Kehkshan Colony، Jaranwala Rd, Colony 1, Faisalabad, Punjab, Pakistan 38000"
info@musharp.com,+923028421020,https://musharp.com,"Office # 112, 1st Floor, Siddiq Trade Center, Gulberg, Lahore, Pakistan, Lahore, Punjab, Pakistan 54500"
sana.sardar@quickstart.com,0092-21-34324346,https://www.quickstart.com/,"Plot No. 43 B/III, Block 6, PECHS, , Pakistan 75400"
contact@softbeats.net,0344411411403444114117,https://www.softbeats.net,"381 Block B, Faisal Town, Opposite FAST University gate no 2, Lahore, Lahore, Punjab, Pakistan 54700"
info@teo-intl.com,+92 51 2112849-5,http://www.teo-intl.com/,"3rd floor, Hassan Arcade, F-11 Markaz, Islamabad, Islamabad, Islamabad Capital Territory, Pakistan 46000"
basit.mirza@zones.com,051-4100423,http://www.zones.com.pk,"Plot # 177, Industrial Area I-10/3, Urban, Islamabad, Islamabad Capital Territory, Pakistan 46000"
info@1-to-n.com,+92518732143,http://1-to-n.com,"House # 1-B, Al-Meher Colony, E-11, Islamabad, Islamabad Capital Territory, Pakistan 46000"
aliya.yousuf@110solutions.com.au,(9221) 4327478-79,http://www.110solutions.com.au,"87 타리크 로드, Karachi, Sindh, Pakistan"
